,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Torbay,47.6666,-52.7314,24.64,88,93,17.2,CA,1613638800
1,Punta Arenas,-53.15,-70.9167,43.86,77,79,6.46,CL,1613638800
2,Cherskiy,68.75,161.3,-28.05,98,3,0.58,RU,1613638800
3,Marzuq,14.4,46.4667,86.85,13,0,3.36,YE,1613638800
4,Pyn U Lwin,22.0333,96.4667,87.73,24,18,8.59,MM,1613638800
5,San Cristobal,7.7669,-72.225,65.1,88,98,2.06,VE,1613638800
6,Mataura,-46.1927,168.8643,53.02,93,61,2.01,NZ,1613638800
7,Kapaa,22.0752,-159.319,73.44,86,87,13.13,US,1613638800
8,New Norfolk,-42.7826,147.0587,70.47,51,0,3.74,AU,1613638800
9,Nanortalik,60.1432,-45.2371,18.1,59,1,8.12,GL,1613638800
10,George Town,5.4112,100.3354,91.47,37,44,3.56,MY,1613638800
11,São Filipe,14.8961,-24.4956,71.85,69,56,8.57,CV,1613638800
12,Saint-Philippe,-21.3585,55.7679,81.99,77,28,1.12,RE,1613638800
13,Lich,50.5209,8.8157,40.95,90,100,7.63,DE,1613638800
14,Ushuaia,-54.8,-68.3,46.8,88,95,1.74,AR,1613638800
15,Gohadi,26.4261,78.4447,84.81,29,1,3.78,IN,1613638800
16,Găgeşti,46.3333,27.9667,34.45,81,91,9.04,RO,1613638800
17,Skjervøy,70.0311,20.9714,30.4,75,13,21.07,NO,1613638800
18,Qaanaaq,77.484,-69.3632,-5.82,63,52,6.08,GL,1613638800
19,Petauke,-14.2426,31.3253,78.55,82,100,6.67,ZM,1613638800
20,Saint-François,46.4154,3.9054,51.21,67,45,11.25,FR,1613638800
21,Obo,5.3998,26.4869,73.9,34,100,5.88,CF,1613638800
22,Rawson,-43.3002,-65.1023,62.62,59,0,5.21,AR,1613638800
23,Homer,59.6425,-151.5483,32.88,90,86,7.02,US,1613638800
24,Tazovsky,67.4667,78.7,-27.29,96,74,7.99,RU,1613638800
25,Jinxiang,27.4327,120.6062,53.96,52,0,7.85,CN,1613638800
